//X	Y	Z	R	G	B	Point_Source_ID	Scan_Angle_Rank	Flightline_Edge	Scan_Direction	Number_of_Returns	Return_Number	Time	Intensity	Classification	Type
315716.005	234788.3608	9.75800037	0	255	255	14	13	0	1	3	2	392774.0998	52	4	window
315716.296	234787.811	9.75300026	0	255	255	14	13	0	1	3	2	392774.0622	68	4	window
315716.484	234787.6328	9.76200008	0	255	255	14	13	0	1	4	3	392774.053	47	4	window
315715.254	234788.29	10.25300026	0	255	255	14	13	0	1	2	1	392774.1279	22	4	window
315715.287	234788.1768	10.2130003	0	255	255	14	13	0	1	2	1	392774.1184	44	4	window
315715.496	234788.377	10.1260004	0	255	255	14	13	0	1	1	1	392774.1184	325	4	window
315715.493	234788.3911	10.66699982	0	255	255	14	13	0	1	1	1	392774.1184	368	4	window
315715.481	234788.3979	11.22900009	0	255	255	14	13	0	1	1	1	392774.1184	313	4	window
315715.4771	234788.4131	11.81999969	0	255	255	14	13	0	1	1	1	392774.1184	421	4	window
315715.389	234788.0332	10.06400013	0	255	255	14	13	0	1	2	1	392774.1091	32	4	window
315715.7209	234788.3452	9.80200005	0	255	255	14	13	0	1	1	1	392774.1091	800	2	window
315715.677	234788.3281	10.56799984	0	255	255	14	13	0	1	2	1	392774.1091	47	4	window
315715.666	234788.3369	11.17300034	0	255	255	14	13	0	1	3	1	392774.1091	78	4	window
315715.797	234788.1631	9.80900002	0	255	255	14	13	0	1	1	1	392774.0998	666	2	window
315715.697	234788.1001	10.85200024	0	255	255	14	13	0	1	2	1	392774.0998	15	4	window
315715.802	234788.2012	10.86600018	0	255	255	14	13	0	1	3	1	392774.0998	47	4	window
315715.592	234787.71	10.24800014	0	255	255	14	13	0	1	2	1	392774.0903	96	4	window
315715.965	234788.0552	9.80000019	0	255	255	14	13	0	1	1	1	392774.0903	595	2	window
315715.863	234787.9922	10.84700012	0	255	255	14	13	0	1	2	1	392774.0903	171	4	window
315716.057	234788.144	9.79100037	0	255	255	14	13	0	1	2	2	392774.0903	213	2	window
315715.7581	234787.9268	11.99199963	0	255	255	14	13	0	1	3	1	392774.0903	36	4	window
315715.65	234787.5972	10.24800014	0	255	255	14	13	0	1	2	1	392774.081	77	4	window
315716.017	234787.937	9.80000019	0	255	255	14	13	0	1	1	1	392774.081	509	2	window
315715.922	234787.8789	10.83899975	0	255	255	14	13	0	1	2	1	392774.081	333	4	window
315716.114	234788.0298	9.79100037	0	255	255	14	13	0	1	2	2	392774.081	115	2	window
315715.809	234787.8081	11.99699974	0	255	255	14	13	0	1	3	1	392774.081	59	4	window
315715.743	234787.4438	10.27700043	0	255	255	14	13	0	1	2	1	392774.0715	80	4	window
315716.124	234787.7949	9.7869997	0	255	255	14	13	0	1	1	1	392774.0715	481	2	window
315716.02	234787.73	10.84399986	0	255	255	14	13	0	1	2	1	392774.0715	264	4	window
315716.217	234787.8838	9.77099991	0	255	255	14	13	0	1	2	2	392774.0715	107	2	window
315715.92	234787.6699	11.97000027	0	255	255	14	13	0	1	3	1	392774.0715	118	4	window
315715.8199	234787.3691	10.27900028	0	255	255	14	13	0	1	2	1	392774.0622	60	4	window
315716.198	234787.7178	9.78899956	0	255	255	14	13	0	1	1	1	392774.0622	395	2	window
315716.0959	234787.6538	10.84599972	0	255	255	14	13	0	1	3	1	392774.0622	239	4	window
315715.989	234787.5879	12.00800037	0	255	255	14	13	0	1	2	1	392774.0622	148	4	window
315715.9399	234787.1211	10.14299965	0	255	255	14	13	0	1	2	1	392774.0527	46	4	window
315716.285	234787.4429	9.82199955	0	255	255	14	13	0	1	1	1	392774.0527	657	2	window
315716.1949	234787.3892	10.81799984	0	255	255	14	13	0	1	2	1	392774.0527	84	4	window
315716.3879	234787.54	9.76599979	0	255	255	14	13	0	1	2	2	392774.0527	283	4	window
315716.076	234787.313	11.98200035	0	255	255	14	13	0	1	4	1	392774.053	10	4	window
315716.277	234787.4712	10.88799953	0	255	255	14	13	0	1	4	2	392774.053	22	4	window
315716.203	234787.271	11.91800022	0	255	255	14	13	0	1	1	1	392774.0434	315	4	window
315716.3101	234788.0078	9.74199963	0	255	255	15	26	0	1	1	1	393036.5263	104	4	window
315715.45	234788.417	12.07999992	0	255	255	15	27	0	1	1	1	393036.5732	411	4	window
315715.224	234788.2661	10.10400009	0	255	255	15	26	0	1	2	1	393036.5827	33	4	window
315715.7469	234788.4302	9.84200001	0	255	255	15	26	0	1	1	1	393036.5639	198	4	window
315715.6689	234788.3662	10.36800003	0	255	255	15	26	0	1	2	1	393036.5639	97	4	window
315715.876	234788.5732	9.77999973	0	255	255	15	26	0	1	2	2	393036.5639	54	4	window
315715.649	234788.3589	10.71800041	0	255	255	15	27	0	1	1	1	393036.5639	197	4	window
315715.634	234788.3589	11.06900024	0	255	255	15	27	0	1	2	1	393036.5639	124	4	window
315715.626	234788.3662	11.40799999	0	255	255	15	27	0	1	1	1	393036.5639	177	4	window
315715.545	234788.2998	11.96500015	0	255	255	15	27	0	1	1	1	393036.5639	279	4	window
315715.494	234788.373	10.09300041	0	255	255	15	26	0	1	1	1	393036.5732	345	4	window
315715.485	234788.3789	10.44999981	0	255	255	15	26	0	1	1	1	393036.5732	446	4	window
315715.478	234788.3862	10.75899982	0	255	255	15	27	0	1	1	1	393036.5732	329	4	window
315715.474	234788.396	11.08100033	0	255	255	15	27	0	1	1	1	393036.5732	310	4	window
315715.467	234788.4028	11.39599991	0	255	255	15	27	0	1	1	1	393036.5732	415	4	window
315715.465	234788.417	11.72700024	0	255	255	15	27	0	1	1	1	393036.5732	493	4	window
315715.807	234788.2568	9.79800034	0	255	255	15	26	0	1	1	1	393036.5544	221	2	window
315715.918	234788.3828	9.78800011	0	255	255	15	26	0	1	1	1	393036.5544	171	2	window
315715.665	234788.1431	10.80599976	0	255	255	15	27	0	1	2	1	393036.5544	12	4	window
315715.752	234788.2451	10.86699963	0	255	255	15	27	0	1	2	1	393036.5544	67	4	window
315715.594	234788.1182	11.95300007	0	255	255	15	27	0	1	3	1	393036.5544	84	4	window
315715.9771	234788.1201	9.79599953	0	255	255	15	26	0	1	1	1	393036.5451	226	2	window
315716.084	234788.2412	9.7869997	0	255	255	15	26	0	1	1	1	393036.5451	138	2	window
315715.822	234787.9941	10.83500004	0	255	255	15	27	0	1	2	1	393036.5451	95	4	window
315715.91	234788.0962	10.88700008	0	255	255	15	27	0	1	2	1	393036.5451	21	4	window
315715.744	234787.96	11.9989996	0	255	255	15	27	0	1	2	1	393036.5451	326	4	window
315715.999	234787.9551	9.79899979	0	255	255	15	26	0	1	1	1	393036.5359	217	2	window
315716.113	234788.083	9.7840004	0	255	255	15	26	0	1	1	1	393036.5359	204	2	window
315715.9449	234787.9438	10.86499977	0	255	255	15	27	0	1	2	1	393036.5359	77	4	window
315715.786	234787.8159	11.95800018	0	255	255	15	27	0	1	2	1	393036.5359	65	4	window
315716.071	234787.7388	9.8210001	0	255	255	15	26	0	1	1	1	393036.5263	563	4	window
315716.192	234787.875	9.7840004	0	255	255	15	26	0	1	1	1	393036.5263	174	4	window
315716.033	234787.7461	10.84200001	0	255	255	15	26	0	1	2	1	393036.5263	137	4	window
315715.927	234787.6841	12.07499981	0	255	255	15	27	0	1	1	1	393036.5263	336	4	window
315716.215	234787.6982	9.78999996	0	255	255	15	26	0	1	1	1	393036.5171	217	2	window
315716.325	234787.8218	9.7869997	0	255	255	15	26	0	1	1	1	393036.5171	108	2	window
315716.069	234787.5811	10.80099964	0	255	255	15	26	0	1	2	1	393036.5171	36	4	window
315716.1479	234787.6748	10.90499973	0	255	255	15	27	0	1	2	1	393036.5171	18	4	window
315715.993	234787.5498	11.97599983	0	255	255	15	27	0	1	2	1	393036.5171	286	4	window
315716.235	234787.3872	9.81200027	0	255	255	15	26	0	1	1	1	393036.5076	446	2	window
315716.114	234787.2808	10.46399975	0	255	255	15	26	0	1	2	1	393036.5076	27	4	window
315716.347	234787.5142	9.80000019	0	255	255	15	26	0	1	2	2	393036.5076	195	2	window
315716.1281	234787.3101	10.72500038	0	255	255	15	26	0	1	2	1	393036.5076	21	4	window
315716.457	234787.6401	9.78999996	0	255	255	15	26	0	1	2	2	393036.5076	119	2	window
315716.198	234787.395	10.83300018	0	255	255	15	26	0	1	2	1	393036.5076	159	4	window
315716.162	234787.374	11.24199963	0	255	255	15	26	0	1	2	1	393036.5076	14	4	window
315716.111	234787.354	12.01500034	0	255	255	15	27	0	1	2	1	393036.5076	286	4	window
315716.189	234787.27	11.63700008	0	255	255	15	27	0	1	1	1	393036.4983	497	4	window
315716.176	234787.2729	11.96399975	0	255	255	15	27	0	1	1	1	393036.4983	478	4	window
315715.653	234787.6211	10.27400017	0	255	255	22	-7	0	1	3	2	394845.6169	13	4	window
315715.578	234787.7612	10.31999969	0	255	255	22	-7	0	1	3	2	394845.6169	12	4	window
315716.979	234785.4658	10.10000038	0	255	255	14	13	0	1	1	1	392773.9309	49	4	window
315717.172	234785.6519	10.09899998	0	255	255	14	13	0	1	1	1	392773.9309	369	4	window
315717.16	234785.6602	10.6789999	0	255	255	14	13	0	1	1	1	392773.9309	345	4	window
315717.354	234785.5908	9.875	0	255	255	14	13	0	1	1	1	392773.9216	378	4	window
315717.307	234785.5708	10.61200047	0	255	255	14	13	0	1	1	1	392773.9216	185	4	window
315717.274	234785.562	11.31799984	0	255	255	14	13	0	1	1	1	392773.9216	274	4	window
315717.238	234785.5498	12.01000023	0	255	255	14	13	0	1	1	1	392773.9216	324	4	window
315717.103	234785.2021	10.11499977	0	255	255	14	13	0	1	2	1	392773.9121	43	4	window
315717.356	234785.4692	10.84399986	0	255	255	14	13	0	1	2	1	392773.9121	74	4	window
315717.236	234785.3921	12.02299976	0	255	255	14	13	0	1	4	1	392773.9121	14	4	window
315717.4399	234785.5508	10.90400028	0	255	255	14	13	0	1	4	2	392773.9121	23	4	window
315717.469	234785.2949	10.87199974	0	255	255	14	13	0	1	2	1	392773.9028	20	4	window
315717.557	234785.3799	10.89500046	0	255	255	14	13	0	1	3	1	392773.9028	67	4	window
315717.301	234784.9199	10.22599983	0	255	255	14	13	0	1	2	1	392773.8933	52	4	window
315717.579	234785.209	10.88199997	0	255	255	14	13	0	1	2	1	392773.8935	252	4	window
315717.4659	234785.1372	12.02299976	0	255	255	14	13	0	1	2	1	392773.8935	242	4	window
315717.671	234785.1279	10.88799953	0	255	255	14	13	0	1	3	1	392773.884	141	4	window
315717.74	234785.0469	10.89000034	0	255	255	14	13	0	1	3	1	392773.8747	174	4	window
315717.83	234784.8442	10.89799976	0	255	255	14	13	0	1	2	1	392773.8652	310	4	window
315717.709	234784.6572	12.00399971	0	255	255	14	13	0	1	4	1	392773.8559	10	4	window
315717.9091	234784.814	10.89799976	0	255	255	14	13	0	1	4	2	392773.8559	26	4	window
315717.571	234784.4639	10.12300014	0	255	255	14	13	0	1	2	1	392773.8559	35	4	window
315717.83	234784.7358	10.85000038	0	255	255	14	13	0	1	2	1	392773.8559	40	4	window
315717.642	234784.3052	10.31900024	0	255	255	14	13	0	1	2	1	392773.8464	18	4	window
315717.868	234784.5342	10.68299961	0	255	255	14	13	0	1	2	1	392773.8464	28	4	window
315717.928	234784.5991	10.89000034	0	255	255	14	13	0	1	2	1	392773.8464	297	4	window
315717.824	234784.5342	11.98200035	0	255	255	14	13	0	1	2	1	392773.8467	144	4	window
315718.213	234784.8389	9.83600044	0	255	255	14	13	0	1	2	2	392773.8467	28	4	window
315717.938	234784.4351	10.42500019	0	255	255	14	13	0	1	1	1	392773.8371	337	4	window
315717.932	234784.4492	11.0340004	0	255	255	14	13	0	1	1	1	392773.8371	326	4	window
315717.92	234784.4561	11.63099957	0	255	255	14	13	0	1	1	1	392773.8371	378	4	window
315717.191	234785.6172	10.18299961	0	255	255	15	26	0	1	1	1	393036.3764	369	4	window
315717.181	234785.623	10.53199959	0	255	255	15	26	0	1	1	1	393036.3764	398	4	window
315717.176	234785.6348	10.85900021	0	255	255	15	26	0	1	1	1	393036.3764	368	4	window
315717.166	234785.6411	11.1960001	0	255	255	15	26	0	1	1	1	393036.3764	406	4	window
315717.356	234785.6201	10.09300041	0	255	255	15	26	0	1	1	1	393036.3669	307	4	window
315717.326	234785.605	10.47399998	0	255	255	15	26	0	1	1	1	393036.3669	269	4	window
315717.307	234785.604	10.86499977	0	255	255	15	26	0	1	1	1	393036.3669	270	4	window
315717.282	234785.5928	11.22200012	0	255	255	15	26	0	1	1	1	393036.3669	270	4	window
315717.264	234785.5908	11.57699966	0	255	255	15	26	0	1	1	1	393036.3669	286	4	window
315717.2159	234785.5571	12.00199986	0	255	255	15	26	0	1	1	1	393036.3669	394	4	window
315717.421	234785.4771	10.86999989	0	255	255	15	26	0	1	2	1	393036.3576	169	4	window
315717.314	234785.416	12.06599998	0	255	255	15	26	0	1	1	1	393036.3576	317	4	window
315717.447	234785.353	10.84599972	0	255	255	15	26	0	1	2	1	393036.3484	146	4	window
315717.355	234785.3071	12.00899982	0	255	255	15	26	0	1	2	1	393036.3484	302	4	window
315717.5439	234785.2871	10.62199974	0	255	255	15	26	0	1	2	1	393036.3388	8	4	window
315717.552	234785.311	10.88799953	0	255	255	15	26	0	1	2	1	393036.3388	107	4	window
315717.3879	234785.1768	11.95699978	0	255	255	15	26	0	1	2	1	393036.3388	34	4	window
315717.5649	234785.1709	10.86999989	0	255	255	15	26	0	1	2	1	393036.3296	272	4	window
315717.713	234785.0171	10.88300037	0	255	255	15	26	0	1	2	1	393036.3201	149	4	window
315717.536	234784.8701	11.98999977	0	255	255	15	26	0	1	2	1	393036.3201	9	4	window
315717.722	234784.916	10.84700012	0	255	255	15	26	0	1	2	1	393036.3108	120	4	window
315717.631	234784.873	12.02900028	0	255	255	15	26	0	1	1	1	393036.3108	351	4	window
315717.83	234784.8149	10.86400032	0	255	255	15	26	0	1	2	1	393036.3015	128	4	window
315717.67	234784.6851	11.94499969	0	255	255	15	26	0	1	2	1	393036.3015	35	4	window
315718.119	234784.9219	9.81299973	0	255	255	15	26	0	1	2	1	393036.292	96	4	window
315717.86	234784.6738	10.85000038	0	255	255	15	26	0	1	2	1	393036.292	122	4	window
315717.7791	234784.6431	12.03199959	0	255	255	15	26	0	1	1	1	393036.292	385	4	window
315717.907	234784.4331	9.99499989	0	255	255	15	26	0	1	1	1	393036.2827	333	4	window
315717.902	234784.4448	10.3409996	0	255	255	15	26	0	1	1	1	393036.2827	345	4	window
315717.889	234784.4482	10.66899967	0	255	255	15	26	0	1	1	1	393036.2827	383	4	window
315717.89	234784.4648	10.98200035	0	255	255	15	26	0	1	1	1	393036.2827	440	4	window
315717.876	234784.4668	11.30500031	0	255	255	15	26	0	1	1	1	393036.2827	365	4	window
315717.874	234784.4819	11.63899994	0	255	255	15	26	0	1	1	1	393036.2827	342	4	window
315717.863	234784.4878	11.98499966	0	255	255	15	26	0	1	1	1	393036.2827	368	4	window
315717.926	234784.3921	11.46899986	0	255	255	15	26	0	1	1	1	393036.2732	394	4	window
315717.916	234784.3979	11.81400013	0	255	255	15	26	0	1	1	1	393036.2732	398	4	window
315717.601	234784.4019	10.26299953	0	255	255	22	-7	0	1	3	2	394845.6076	10	4	window
315718.764	234782.4512	9.97999954	0	255	255	14	13	0	1	2	1	392773.6965	97	4	window
315719.16	234782.8301	9.8760004	0	255	255	14	13	0	1	1	1	392773.6965	186	4	window
315719.064	234782.769	10.90499973	0	255	255	14	13	0	1	2	1	392773.6965	267	4	window
315719.079	234782.6118	10.88599968	0	255	255	14	13	0	1	2	1	392773.6872	18	4	window
315719.17	234782.7002	10.88599968	0	255	255	14	13	0	1	3	1	392773.6872	138	4	window
315718.951	234782.2339	10.27299976	0	255	255	14	13	0	1	2	1	392773.6777	91	4	window
315719.225	234782.5161	10.85499954	0	255	255	14	13	0	1	2	1	392773.6777	454	4	window
315719.1169	234782.4468	11.98600006	0	255	255	14	13	0	1	2	1	392773.6777	171	4	window
315718.991	234782.1172	9.97799969	0	255	255	14	13	0	1	2	1	392773.6684	64	4	window
315719.312	234782.4551	10.87699986	0	255	255	14	13	0	1	2	1	392773.6684	125	4	window
315719.0551	234782.0029	10.10200024	0	255	255	14	13	0	1	2	1	392773.6589	115	4	window
315719.3979	234782.3252	9.83500004	0	255	255	14	13	0	1	1	1	392773.6589	1599	2	window
315719.297	234782.2612	10.90799999	0	255	255	14	13	0	1	2	1	392773.6589	42	4	window
315719.493	234782.417	9.80900002	0	255	255	14	13	0	1	2	2	392773.6589	4383	4	window
315719.2	234782.2002	11.97399998	0	255	255	14	13	0	1	4	1	392773.6589	11	4	window
315719.39	234782.3511	10.90999985	0	255	255	14	13	0	1	4	2	392773.6589	32	4	window
315719.1169	234781.938	10.1789999	0	255	255	14	13	0	1	2	1	392773.6496	101	4	window
315719.457	234782.2578	9.88099957	0	255	255	14	13	0	1	1	1	392773.6496	2054	4	window
315719.564	234782.3599	9.82600021	0	255	255	14	13	0	1	1	1	392773.6496	4201	4	window
