X,Y,Z,R,G,B,Point_Source_ID,Scan_Angle_Rank,Flightline_Edge,Scan_Direction,Number_of_Returns,Return_Number,Time,Intensity,Classification
315705.838,234844.1748,27.69400024,170,0,255,11,-31,1,1,1,1,391898.7545,325,2
315705.948,234844.2871,27.69099998,170,0,255,11,-31,0,1,1,1,391898.7545,286,2
315706.069,234844.4102,27.68600082,170,0,255,11,-31,0,1,1,1,391898.7545,276,2
315706.157,234844.499,27.62599945,170,0,255,11,-31,0,1,1,1,391898.7545,105,2
315706.276,234844.6201,27.63199997,170,0,255,11,-31,0,1,1,1,391898.7545,94,2
315706.386,234844.731,27.63400078,170,0,255,11,-31,0,1,1,1,391898.7545,110,2
315706.2729,234844.2979,27.64699936,170,0,255,11,-31,1,1,1,1,391898.7451,87,4
315706.381,234844.4072,27.63899994,170,0,255,11,-31,0,1,1,1,391898.7451,93,4
315706.499,234844.5269,27.6439991,170,0,255,11,-31,0,1,1,1,391898.7451,94,4
315706.62,234844.6499,27.65299988,170,0,255,11,-31,0,1,1,1,391898.7451,110,2
315706.7581,234844.791,27.68799973,170,0,255,11,-31,0,1,1,1,391898.7451,302,2
315706.869,234844.9038,27.68400002,170,0,255,11,-31,0,1,1,1,391898.7451,336,2
315706.994,234845.0308,27.69000053,170,0,255,11,-31,0,1,1,1,391898.7451,283,2
315707.103,234845.1421,27.68400002,170,0,255,11,-31,0,1,1,1,391898.7451,289,2
315707.215,234845.2559,27.67499924,170,0,255,11,-31,0,1,1,1,391898.7451,251,2
315707.3101,234845.3521,27.63800049,170,0,255,11,-30,0,1,1,1,391898.7451,86,2
315707.433,234845.4771,27.63999939,170,0,255,11,-30,0,1,1,1,391898.7451,50,2
315707.548,234845.5942,27.63299942,170,0,255,11,-30,0,1,1,1,391898.7451,76,2
315707.667,234845.7148,27.63400078,170,0,255,11,-30,0,1,1,1,391898.7451,63,2
