X,Y,Z,R,G,B,Point_Source_ID,Scan_Angle_Rank,Flightline_Edge,Scan_Direction,Number_of_Returns,Return_Number,Time,Intensity,Classification,Type
315996.748,234680.7109,16.31999969,0,85,255,11,-17,0,1,2,1,391878.9846,26,4,roof
315997.038,234681.123,16.55900002,0,85,255,11,-17,0,1,1,1,391878.9846,89,4,roof
315997.053,234681.2192,16.65299988,0,85,255,11,-17,0,1,1,1,391878.994,186,2,roof
315996.703,234681.1348,16.33099937,0,85,255,11,-17,0,1,1,1,391879.0127,58,2,roof
315996.792,234681.2598,16.39100075,0,85,255,11,-17,0,1,1,1,391879.0127,46,2,roof
315996.903,234681.4219,16.56200027,0,85,255,11,-17,0,1,1,1,391879.0127,53,4,roof
315996.609,234681.1479,16.35099983,0,85,255,11,-17,0,1,1,1,391879.0221,56,2,roof
315996.7,234681.2778,16.42900085,0,85,255,11,-17,0,1,1,1,391879.0221,52,2,roof
315996.786,234681.3989,16.48600006,0,85,255,11,-17,0,1,1,1,391879.0221,52,2,roof
315996.9351,234681.626,16.91600037,0,85,255,11,-17,0,1,1,1,391879.0221,171,4,roof
315996.157,234681.0298,16.34199905,0,85,255,11,-17,0,1,1,1,391879.0409,55,2,roof
315996.245,234681.1538,16.39999962,0,85,255,11,-17,0,1,1,1,391879.0409,54,2,roof
315996.343,234681.293,16.47699928,0,85,255,11,-17,0,1,1,1,391879.0409,40,2,roof
315996.439,234681.4292,16.55599976,0,85,255,11,-17,0,1,1,1,391879.0409,61,2,roof
315996.531,234681.5591,16.62700081,0,85,255,11,-17,0,1,1,1,391879.0409,38,2,roof
315996.625,234681.6919,16.68700027,0,85,255,11,-17,0,1,1,1,391879.0409,42,2,roof
315996.72,234681.8262,16.78199959,0,85,255,11,-17,0,1,1,1,391879.0409,36,2,roof
315996.866,234682.0488,17.21699905,0,85,255,11,-17,0,1,1,1,391879.0409,279,4,roof
315996.0699,234680.9858,16.34900093,0,85,255,11,-17,0,1,1,1,391879.0502,68,2,roof
315996.156,234681.1079,16.4090004,0,85,255,11,-17,0,1,1,1,391879.0502,82,2,roof
315996.244,234681.231,16.44599915,0,85,255,11,-17,0,1,1,1,391879.0502,41,2,roof
315996.334,234681.3579,16.53300095,0,85,255,11,-17,0,1,1,1,391879.0502,70,2,roof
315996.437,234681.5059,16.62899971,0,85,255,11,-17,0,1,1,1,391879.0503,52,2,roof
315996.53,234681.6362,16.69599915,0,85,255,11,-17,0,1,1,1,391879.0503,76,2,roof
315996.62,234681.7632,16.74699974,0,85,255,11,-17,0,1,1,1,391879.0503,47,2,roof
315996.8149,234681.1201,16.31100082,0,85,255,11,-17,0,1,1,1,391879.0034,66,2,roof
315996.92,234681.2729,16.45400047,0,85,255,11,-17,0,1,1,1,391879.0034,56,4,roof
315996.12,234681.3052,16.54299927,0,85,255,11,-17,0,1,1,1,391879.0596,53,2,roof
315996.207,234681.4268,16.58699989,0,85,255,11,-17,0,1,1,1,391879.0596,56,2,roof
315996.296,234681.5532,16.66399956,0,85,255,11,-17,0,1,1,1,391879.0596,91,2,roof
315996.39,234681.687,16.74900055,0,85,255,11,-17,0,1,1,1,391879.0596,78,2,roof
315996.4871,234681.8242,16.82600021,0,85,255,11,-17,0,1,1,1,391879.0596,63,2,roof
315996.584,234681.9619,16.89800072,0,85,255,11,-17,0,1,1,1,391879.0596,33,2,roof
315996.678,234682.0962,17.00600052,0,85,255,11,-17,0,1,1,1,391879.0596,64,2,roof
315996.8361,234682.335,17.45000076,0,85,255,11,-17,0,1,1,1,391879.0596,257,4,roof
315997.424,234683.1528,17.60099983,0,85,255,11,-17,0,1,1,1,391879.0597,38,2,roof
315995.717,234680.853,16.33099937,0,85,255,11,-18,0,1,1,1,391879.069,70,2,roof
315995.8051,234680.9771,16.38100052,0,85,255,11,-18,0,1,1,1,391879.069,60,2,roof
315995.896,234681.105,16.42900085,0,85,255,11,-18,0,1,1,1,391879.069,46,2,roof
315995.995,234681.2451,16.49799919,0,85,255,11,-17,0,1,1,1,391879.069,54,2,roof
315996.085,234681.3721,16.57699966,0,85,255,11,-17,0,1,1,1,391879.069,45,2,roof
315996.183,234681.5112,16.65200043,0,85,255,11,-17,0,1,1,1,391879.069,51,2,roof
315996.2729,234681.6382,16.72800064,0,85,255,11,-17,0,1,1,1,391879.069,69,2,roof
315996.363,234681.7661,16.78800011,0,85,255,11,-17,0,1,1,1,391879.069,79,2,roof
315996.451,234681.8901,16.85700035,0,85,255,11,-17,0,1,1,1,391879.069,55,2,roof
315996.556,234682.041,16.97500038,0,85,255,11,-17,0,1,1,1,391879.069,44,2,roof
315996.657,234682.1851,17.07999992,0,85,255,11,-17,0,1,1,1,391879.069,46,4,roof
